1,0,1,1,1,1,2,0,2,2,0,0,1,1,0,0,2,2,0,0,1,1,0,1,2,3,3,0,0,1,1
2,0,5,3,3,0,0,1,1,5,2,2,0,4,1,3,3,0,5,1,1,2,2,2,0,1,1,2,3,3,0
3,2,5,1,2,2,0,0,1,1,2,3,3,0,0,1,1,0,2,3,3,0,0,1,1,1,0,1,1,1,3
4,1,1,2,0,0,1,1,0,3,3,5,5,1,1,2,0,1,1,0,4,1,1,3,3,5,5,1,2,0,2
5,3,3,0,0,1,1,2,0,0,1,1,2,2,2,0,1,1,0,1,3,3,5,5,5,5,1,1,1,2,0
6,1,2,0,1,3,0,0,0,1,1,0,1,3,3,0,5,5,1,2,2,0,1,1,1,2,3,3,0,0,1
7,5,1,1,0,0,0,1,1,1,3,3,0,0,1,2,2,2,0,1,2,0,1,1,1,2,0,1,1,3,3
8,2,0,2,2,2,3,3,0,0,4,1,0,1,2,0,1,1,0,1,1,0,0,1,1,5,5,1,1,1,1
9,5,0,0,1,1,1,2,0,0,1,2,5,1,1,0,1,1,1,2,0,3,3,5,0,1,2,0,1,1,0
10,4,1,3,3,0,0,1,1,2,0,0,0,1,1,1,4,1,2,0,1,1,2,2,2,0,1,3,3,0,0
11,1,2,0,1,1,2,3,3,5,0,1,2,0,0,1,4,1,0,1,2,2,0,1,3,3,0,0,1,1,1
12,1,0,1,1,1,0,5,5,5,1,1,1,0,1,1,4,3,3,0,0,1,1,1,0,1,2,2,0,0,1
13,3,3,0,0,0,1,4,2,5,5,5,1,2,0,1,1,0,1,1,1,0,1,1,1,5,5,5,2,2,2
14,2,2,3,3,0,0,1,1,1,4,5,5,5,1,3,3,0,2,2,0,1,1,0,1,1,2,5,1,2,0
15,3,3,0,0,1,1,0,1,1,2,2,3,3,0,0,1,1,5,0,1,1,2,2,2,0,0,1,2,0,1
16,1,1,2,2,0,0,1,2,3,3,0,0,4,1,1,2,3,3,0,5,4,1,1,0,1,1,3,3,0,0
17,1,0,1,1,2,2,2,0,0,1,1,1,4,3,3,0,0,1,1,5,5,1,3,3,0,0,1,1,1,2
18,5,0,0,0,3,3,0,2,2,5,5,2,2,2,0,1,2,0,1,4,0,0,1,1,3,3,0,0,1,1
19,1,1,1,1,0,1,4,1,2,2,0,0,1,1,1,4,1,0,1,1,3,3,5,5,5,5,1,1,0,1
20,0,0,2,2,2,0,1,1,5,1,1,0,1,2,2,3,3,5,5,1,1,1,1,0,1,1,0,1,1,4
21,1,1,1,0,0,2,2,5,1,1,1,1,2,0,1,1,0,1,2,0,1,3,3,0,0,1,2,0,1,4
22,4,0,1,1,3,3,0,0,5,1,2,2,3,3,0,0,1,1,1,0,2,2,2,0,1,1,2,0,1,4
23,2,2,0,1,1,1,3,3,5,5,0,1,1,0,0,1,2,3,3,0,0,1,1,2,2,0,1,1,1,4
24,0,5,5,1,1,0,1,1,1,0,3,3,0,0,1,1,1,2,0,2,2,0,1,1,5,5,0,2,2,2
25,0,1,1,0,1,1,1,3,3,0,0,1,1,1,2,2,0,1,3,3,0,0,1,1,2,2,0,0,3,3
